LOG PORTFOLIOS
User: 51 | Product: MG 2 | Portofolio: 60892500 | Gain: 892500 | Initial: 60000000 | Soulte: 60000000 | GainM: 892500
User: 53 | Product: MG1 | Portofolio: 10350000 | Gain: 10295833 | Initial: 54167 | Soulte: 10000000 | GainM: 350000
User: 55 | Product: MG1 | Portofolio: 10329167 | Gain: 10295834 | Initial: 33333 | Soulte: 10000000 | GainM: 329167
User: 56 | Product: MG 3 | Portofolio: 95733333 | Gain: -4266667 | Initial: 100000000 | Soulte: 100000000 | GainM: -4266667
User: 57 | Product: MG1 | Portofolio: 102384722 | Gain: 101936111 | Initial: 448611 | Soulte: 100000000 | GainM: 2384722
User: 60 | Product: MG1 | Portofolio: 10350000 | Gain: 350000 | Initial: 10000000 | Soulte: 10000000 | GainM: 350000
User: 61 | Product: MG1 | Portofolio: 96080556 | Gain: -3919444 | Initial: 100000000 | Soulte: 100000000 | GainM: -3919444
User: 61 | Product: MG 2 | Portofolio: 182583333 | Gain: -17416667 | Initial: 200000000 | Soulte: 200000000 | GainM: -17416667
User: 62 | Product: MG1 | Portofolio: 2043889 | Gain: 43889 | Initial: 2000000 | Soulte: 2000000 | GainM: 43889
User: 63 | Product: MG1 | Portofolio: 60706667 | Gain: 706667 | Initial: 60000000 | Soulte: 60000000 | GainM: 706667
User: 65 | Product: MG1 | Portofolio: 5000000 | Gain: 0 | Initial: 5000000 | Soulte: 5000000 | GainM: 0
